firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
06/01/14,http://twitter.com/josephsjourney/status/473019721642569728,josephsjourney,http://t.co/pXvAe3gSte: Halloween 2013 http://t.co/RKYFXytKLr #CHD =,8.892039,http://twitter.com/Josephsjourney/status/473019721642569728,http://twitter.com/josephsjourney
06/01/14,http://twitter.com/sarah_myers5/status/473102357052796928,sarah_myers5,All ready for church! #CHD http://t.co/295ORlkOSQ,8.821497,http://twitter.com/Sarah_Myers5/status/473102357052796928,http://twitter.com/sarah_myers5
06/01/14,http://twitter.com/everydaymornin/status/473108936762347520,everydaymornin,Everyday Morning Hearts #CHD is out! http://t.co/UbPNnfqDub Stories via @PereyLaw @MLH_CHD @am24199,8.854789,http://twitter.com/everydaymornin/status/473108936762347520,http://twitter.com/everydaymornin
06/01/14,http://twitter.com/_yungpapito/status/473118657321918464,_yungpapito,im boutta just shoot a video friday ; @chubzng #CHD &amp;#OTD back at it again these niggas been waiting !,10.463089,http://twitter.com/_YungPapito/status/473118657321918464,http://twitter.com/_yungpapito
06/01/14,http://twitter.com/josephsjourney/status/473131895077998592,josephsjourney,Come by and visit us at Joseph Story and Learn about #CHD http://t.co/8aaDgT2LkF Thank you!,8.239425,http://twitter.com/Josephsjourney/status/473131895077998592,http://twitter.com/josephsjourney
05/23/14,http://twitter.com/bretbaier/status/469891457885556736,lord_nagy,"RT @BretBaier: #SpecialHeart is out in stores #June3rd, but you can preorder now from @booksamillion, @indiebound and @BNBuzz! #CHD http://…",7.856278,http://twitter.com/LoRd_NaGy/status/473132307318972416,http://twitter.com/lord_nagy
06/01/14,http://twitter.com/chp_youth/status/473136249113690112,chp_youth,"in #Ankara, information that s coming from #CHD: 30 citiziens were arrested.",8.530071,http://twitter.com/CHP_Youth/status/473136249113690112,http://twitter.com/chp_youth
06/01/14,http://twitter.com/josephsjourney/status/473140793436147712,josephsjourney,http://t.co/pXvAe3gSte: Maternal diet and genes interact to affect heart development http://t.co/EXwhxxPD6F #CHD =,7.911689,http://twitter.com/Josephsjourney/status/473140793436147712,http://twitter.com/josephsjourney
06/01/14,http://twitter.com/conorcoen/status/473160433197514757,conorcoen,#Lorcan #CHD @ Winding Trails http://t.co/nxF2cjpNIl,7.8991094,http://twitter.com/ConorCoen/status/473160433197514757,http://twitter.com/conorcoen
06/01/14,http://twitter.com/jnes_krasfz/status/473163408150638592,jnes_krasfz,#çhd,8.933604,http://twitter.com/jnes_krasfz/status/473163408150638592,http://twitter.com/jnes_krasfz
06/01/14,http://twitter.com/sydneyheartmom/status/473173057876393984,sydneyheartmom,Open heart surgery soon. My little mans  a fighter! #heartmom #CHD http://t.co/OHU8O8Tada,7.776388,http://twitter.com/SydneyHeartMom/status/473173057876393984,http://twitter.com/sydneyheartmom
06/01/14,http://twitter.com/satrinagala/status/473174555159441408,satrinagala,2014 Little Hearts Annual Picnic. Long Life to all the Heart Warriors! #CHD #1in100 #proudmommy http://t.co/sDZLYiwKWH,7.5049477,http://twitter.com/SatrinaGala/status/473174555159441408,http://twitter.com/satrinagala
06/01/14,http://twitter.com/mommakaep/status/473201343360823296,mommakaep,The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD,10.954462,http://twitter.com/mommakaep/status/473201343360823296,http://twitter.com/mommakaep
06/01/14,http://twitter.com/josephsjourney/status/473201602598150145,josephsjourney,http://t.co/pXvAe3gSte: Congenital heart disease may alter growth patterns http://t.co/Gj6rtY31fu #CHD =,7.911689,http://twitter.com/Josephsjourney/status/473201602598150145,http://twitter.com/josephsjourney
06/01/14,http://twitter.com/alonso7349/status/473202654928056320,alonso7349,RT @mommakaep: The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD,7.246512,http://twitter.com/Alonso7349/status/473202654928056320,http://twitter.com/alonso7349
06/01/14,http://twitter.com/camp_taylor/status/473205137985380353,camp_taylor,RT @mommakaep: The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD,7.246512,http://twitter.com/Camp_Taylor/status/473205137985380353,http://twitter.com/camp_taylor
06/01/14,http://twitter.com/bnl8216/status/473215339761643520,bnl8216,Starting my camp essentials shopping! #CHD #KidsKickinCancer http://t.co/rtxvahkF41,7.9201336,http://twitter.com/BnL8216/status/473215339761643520,http://twitter.com/bnl8216
06/01/14,http://twitter.com/angela7garza/status/473215422573993984,angela7garza,RT @mommakaep: The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD,7.246512,http://twitter.com/angela7garza/status/473215422573993984,http://twitter.com/angela7garza
06/01/14,http://twitter.com/thecajun07/status/473228702621249536,thecajun07,RT @mommakaep: The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD,7.246512,http://twitter.com/thecajun07/status/473228702621249536,http://twitter.com/thecajun07
06/01/14,http://twitter.com/ciarammmm/status/473228784791863296,ciarammmm,RT @mommakaep: The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD,7.246512,http://twitter.com/CiaraMmmm/status/473228784791863296,http://twitter.com/ciarammmm
06/01/14,http://twitter.com/ciarammmm/status/473229370266755074,ciarammmm,My heart hurts.  Love you Sarah &amp; I will miss your bright light everyday.  #CHD #morethanastatistic,7.4339542,http://twitter.com/CiaraMmmm/status/473229370266755074,http://twitter.com/ciarammmm
06/01/14,http://twitter.com/lauriehaughton/status/473241197842927616,lauriehaughton,Through the Lens of Motherhood: All for a smile http://t.co/wTtPtMTYcl #TorontoMapleLeafs #TorontoMarlies #CHD #beautifulday,7.4530554,http://twitter.com/LaurieHaughton/status/473241197842927616,http://twitter.com/lauriehaughton
06/02/14,http://twitter.com/qbdad7/status/473254731536560129,qbdad7,RT @mommakaep: The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD,7.246512,http://twitter.com/QBDAD7/status/473254731536560129,http://twitter.com/qbdad7
06/02/14,http://twitter.com/ambegnaud/status/473254865423327233,ambegnaud,RT @mommakaep: The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD,7.246512,http://twitter.com/ambegnaud/status/473254865423327233,http://twitter.com/ambegnaud
06/02/14,http://twitter.com/sarahrcoks21/status/473265012405194752,sarahrcoks21,RT @mommakaep: The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD,7.246512,http://twitter.com/sarahrcoks21/status/473265012405194752,http://twitter.com/sarahrcoks21
06/02/14,http://twitter.com/corbinsheart/status/473281613380722688,corbinsheart,Brilliant idea and amazing legacy!! http://t.co/9Gb7XmxZn6 #chd,9.68693,http://twitter.com/CorbinsHeart/status/473281613380722688,http://twitter.com/corbinsheart
06/02/14,http://twitter.com/josephsjourney/status/473282925413552128,josephsjourney,Good Evening everyone! Have a great evening and Thank you for sharing about #CHD!,8.353543,http://twitter.com/Josephsjourney/status/473282925413552128,http://twitter.com/josephsjourney
06/02/14,http://twitter.com/meg_setzer/status/473287927192354817,meg_setzer,RT @CorbinsHeart: Brilliant idea and amazing legacy!! http://t.co/9Gb7XmxZn6 #chd,7.9952316,http://twitter.com/Meg_Setzer/status/473287927192354817,http://twitter.com/meg_setzer
06/02/14,http://twitter.com/smile4riley/status/473300286644436992,smile4riley,#Heterotaxy #CHD #Transplant #Survivor .. ♡ http://t.co/CiqGXlUxRe http://t.co/TZhd6aorZa,9.39397,http://twitter.com/Smile4Riley/status/473300286644436992,http://twitter.com/smile4riley
06/02/14,http://twitter.com/programman/status/473301413091872768,programman,RT @Smile4Riley: #Heterotaxy #CHD #Transplant #Survivor .. ♡ http://t.co/CiqGXlUxRe http://t.co/TZhd6aorZa,7.508535,http://twitter.com/ProgramMan/status/473301413091872768,http://twitter.com/programman
06/02/14,http://twitter.com/dmayers340/status/473309013405626368,dmayers340,Summer=one exhausted mommy #homework #Studying  #baby #CHD #toomuch,7.8246117,http://twitter.com/dmayers340/status/473309013405626368,http://twitter.com/dmayers340
06/02/14,http://twitter.com/josephsjourney/status/473313119109132288,josephsjourney,Come by and visit us at Joseph Story and Learn about #CHD http://t.co/8aaDgT2LkF Thank you!,8.243974,http://twitter.com/Josephsjourney/status/473313119109132288,http://twitter.com/josephsjourney
06/02/14,http://twitter.com/josephsjourney/status/473322677738819585,josephsjourney,http://t.co/pXvAe3gSte: Hormone Treatment Eases Post-Surgery Distress In Children http://t.co/SzRCwhCF1N #CHD =,7.539123,http://twitter.com/Josephsjourney/status/473322677738819585,http://twitter.com/josephsjourney
06/02/14,http://twitter.com/kimkovitch/status/473322841069207552,kimkovitch,Ride or Cry Crew in their fantastic voyage. #lazysunday #pinkisthenewblue #chd #heartbabies #kimkovitch http://t.co/fsbaU3eu8f,7.10308,http://twitter.com/kimkovitch/status/473322841069207552,http://twitter.com/kimkovitch
06/02/14,http://twitter.com/mike_hatter4/status/473334479348858880,mike_hatter4,2 all r #CHD friends please pray 4 Blake at@almorrow Blake is having OHS6-2-14 he needs all the prayers he can get pls RT #needprayers 😀🙏,8.140147,http://twitter.com/mike_hatter4/status/473334479348858880,http://twitter.com/mike_hatter4
06/02/14,http://twitter.com/jae_levine3/status/473346256828260352,jae_levine3,#chd #survivor http://t.co/nnl8xJsOrG,8.795659,http://twitter.com/Jae_LeVine3/status/473346256828260352,http://twitter.com/jae_levine3
06/02/14,http://twitter.com/quacker1982/status/473358659536179200,quacker1982,"All the best to @ADMEDUS at the #AsiaBioInv, Amazing products with a fantastic management group. #CardioCel #CHD #Bio #Aus #Medicalproducts",6.8402514,http://twitter.com/Quacker1982/status/473358659536179200,http://twitter.com/quacker1982
06/02/14,http://twitter.com/almorrow/status/473376217316741121,almorrow,RT @mike_hatter4: 2 all r #CHD friends please pray 4 Blake at@almorrow Blake is having OHS6-2-14 he needs all the prayers he can get pls RT…,6.591995,http://twitter.com/almorrow/status/473376217316741121,http://twitter.com/almorrow
06/02/14,http://twitter.com/josephsjourney/status/473383494488313856,josephsjourney,http://t.co/pXvAe3gSte: Merry Christmas 2013 puzzle http://t.co/lllpyFoMqq #CHD =,8.42298,http://twitter.com/Josephsjourney/status/473383494488313856,http://twitter.com/josephsjourney
06/02/14,http://twitter.com/lhm_uk/status/473391107146285057,lhm_uk,Not sure what having half a heart means? Watch our film here http://t.co/TXl3TnxSui #CHD,10.965844,http://twitter.com/LHM_UK/status/473391107146285057,http://twitter.com/lhm_uk
06/02/14,http://twitter.com/teamheartrwanda/status/473406918765993984,teamheartrwanda,@TheHASPC Working to increase access to life saving cardiac care for all Rwandese. #weneedtobuildahospital to save lives. #RHD #CHD,10.311224,http://twitter.com/TeamHeartRwanda/status/473406918765993984,http://twitter.com/teamheartrwanda
06/02/14,http://twitter.com/jb_bosch/status/473416822688350208,jb_bosch,RT @mommakaep: The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD,7.246512,http://twitter.com/jb_bosch/status/473416822688350208,http://twitter.com/jb_bosch
06/02/14,http://twitter.com/josephsjourney/status/473443893241856000,josephsjourney,http://t.co/pXvAe3gSte: Current Law: Sec. 10411. Congenital Heart Disease Programs http://t.co/Yb2O6GAG0x #CHD =,7.7034984,http://twitter.com/Josephsjourney/status/473443893241856000,http://twitter.com/josephsjourney
06/02/14,http://twitter.com/witheveryhrtbt/status/473457778611064834,fightforthered,Saying an extra prayer this morning for @katie_holstein_  and baby Jon. The whole prepare process is not easy! Love you girlie! #CHD,7.4858465,http://twitter.com/witheveryhrtbt/status/473457778611064834,http://twitter.com/fightforthered
06/02/14,http://twitter.com/everydaymornin/status/473471327182286848,everydaymornin,Everyday Morning Hearts #CHD is out! http://t.co/UbPNnfqDub Stories via @CorbinsHeart,9.459886,http://twitter.com/everydaymornin/status/473471327182286848,http://twitter.com/everydaymornin
06/02/14,http://twitter.com/corbinsheart/status/473473804313038848,corbinsheart,RT @everydaymornin: Everyday Morning Hearts #CHD is out! http://t.co/UbPNnfqDub Stories via @CorbinsHeart,7.5637,http://twitter.com/CorbinsHeart/status/473473804313038848,http://twitter.com/corbinsheart
06/02/14,http://twitter.com/antiquejatti/status/473474973994999808,antiquejatti,Sir chadh BolDi shokeeni JaTTa di #desistyle !! #Punjabi #chd#ourcitiesourworld !!,7.7734027,http://twitter.com/ANTIQUEJATTI/status/473474973994999808,http://twitter.com/antiquejatti
06/02/14,http://twitter.com/kindercreative/status/473485075112550401,kindercreative,I've updated the Hearts in the right place blog. Please RT about raising awareness for #CHD #situsinversus #baby http://t.co/Ea0CKorhrI,12.682273,http://twitter.com/kindercreative/status/473485075112550401,http://twitter.com/kindercreative
06/02/14,http://twitter.com/kindercreative/status/473485212459220992,kindercreative,@LHM_UK I've updated the Hearts in the right place blog. Please RT raising awareness for #CHD #situsinversus #baby http://t.co/Ea0CKorhrI,10.516164,http://twitter.com/kindercreative/status/473485212459220992,http://twitter.com/kindercreative
06/02/14,http://twitter.com/kindercreative/status/473485328104570881,kindercreative,@HeartlineUK I've updated the Hearts in the right place blog. Please RT  awareness for #CHD #situsinversus #baby http://t.co/Ea0CKorhrI,11.268201,http://twitter.com/kindercreative/status/473485328104570881,http://twitter.com/kindercreative
06/02/14,http://twitter.com/jonescorporate/status/473490600508289024,jonescorporate,RT @kindercreative: I've updated the Hearts in the right place blog. Please RT about raising awareness for #CHD #situsinversus #baby http:/…,7.284958,http://twitter.com/JonesCorporate/status/473490600508289024,http://twitter.com/jonescorporate
06/02/14,http://twitter.com/r10ltd/status/473492808415051777,r10ltd,RT @kindercreative: I've updated the Hearts in the right place blog. Please RT about raising awareness for #CHD #situsinversus #baby http:/…,7.284958,http://twitter.com/r10Ltd/status/473492808415051777,http://twitter.com/r10ltd
06/02/14,http://twitter.com/lacreshahoggle/status/473493708990849025,lacreshahoggle,RT @kindercreative: I've updated the Hearts in the right place blog. Please RT about raising awareness for #CHD #situsinversus #baby http:/…,7.284958,http://twitter.com/LacreshaHoggle/status/473493708990849025,http://twitter.com/lacreshahoggle
06/02/14,http://twitter.com/josephsjourney/status/473494395199963136,josephsjourney,Come by and visit us at Joseph Story and Learn about #CHD http://t.co/8aaDgT2LkF Thank you!,8.253458,http://twitter.com/Josephsjourney/status/473494395199963136,http://twitter.com/josephsjourney
06/02/14,http://twitter.com/princetononline/status/473494429438078976,princetononline,Colin’s Kids Announces 2014 Golf Tournament Fundraiser June 10 http://t.co/y7xZIUCgOF #CHD #HeartDisease #RyeNY,7.317121,http://twitter.com/PrincetonOnline/status/473494429438078976,http://twitter.com/princetononline
06/02/14,http://twitter.com/marcfearns/status/473495575569395712,marcfearns,RT @kindercreative: I've updated the Hearts in the right place blog. Please RT about raising awareness for #CHD #situsinversus #baby http:/…,10.45432,http://twitter.com/MarcFearns/status/473495575569395712,http://twitter.com/marcfearns
06/02/14,http://twitter.com/teamnolan1/status/473499860113821696,teamnolan1,Today's blog: a big thanks to my readers! http://t.co/kfrf2ZLwz4 #CHD #HLHS,7.911689,http://twitter.com/TeamNolan1/status/473499860113821696,http://twitter.com/teamnolan1
06/02/14,http://twitter.com/josephsjourney/status/473504442642206721,josephsjourney,http://t.co/pXvAe3gSte: Abnormal Growth Regulation May Occur in Children With Heart Defects http://t.co/UcIu4L26HX #CHD =,7.667692,http://twitter.com/Josephsjourney/status/473504442642206721,http://twitter.com/josephsjourney
06/02/14,http://twitter.com/ourhouseisohio/status/473505814326431745,k_austin0,RT @OurHouseIsOHIO: This months charity event!!! Tonight for CHD!!!! Help spread the word!! RT #CHD @ReeseClarett13 @SK_PREZ @k_austin0 htt…,8.410409,http://twitter.com/k_austin0/status/473506999192526848,http://twitter.com/k_austin0
06/02/14,http://twitter.com/sthavok13/status/473508725882236928,sthavok13,"As do the Santos' RT ""@mommakaep: The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD""",8.659628,http://twitter.com/StHavok13/status/473508725882236928,http://twitter.com/sthavok13
06/02/14,http://twitter.com/kulwantmall/status/473509954478145536,kulwantmall,Uffffffff kyA Grmiii c #CHD  ch.........󾍃󾍃󾍃󾍃󾍃󾍃 — feeling relaxed at Swt Home http://t.co/LrqPeWT7Bh,7.3435287,http://twitter.com/KulwAntMAll/status/473509954478145536,http://twitter.com/kulwantmall
06/02/14,http://twitter.com/amerurological/status/473510203435261952,amerurological,"Study suggests #kidneystones are linked to increased risk of cardiovascular disease, including #CHD &amp; #stroke http://t.co/QC2Ru9QNdJ",8.795243,http://twitter.com/AmerUrological/status/473510203435261952,http://twitter.com/amerurological
06/02/14,http://twitter.com/nakadasteve/status/473518366712680448,nakadasteve,"RT @AmerUrological: Study suggests #kidneystones are linked to increased risk of cardiovascular disease, including #CHD &amp; #stroke http://t.…",6.952757,http://twitter.com/NakadaSteve/status/473518366712680448,http://twitter.com/nakadasteve
06/02/14,http://twitter.com/pereylaw/status/473530994352349185,pereylaw,RT @everydaymornin: Everyday Morning Hearts #CHD is out! http://t.co/UbPNnfqDub Stories via @PereyLaw @MLH_CHD @am24199,7.0996156,http://twitter.com/PereyLaw/status/473530994352349185,http://twitter.com/pereylaw
05/22/14,http://twitter.com/theheartfund/status/469437459483590656,_kardashdolls,RT @TheHeartFund: Thanks for your support yesterday night @RealToniGarrn #eliesjr @MLillelund v/@Ronnie_Madra #gpcannes #charity #chd http:…,7.562417,http://twitter.com/ErinWalker__/status/473535929639260160,http://twitter.com/_kardashdolls
06/02/14,http://twitter.com/thechf_mo/status/473536667395969024,thechf_mo,.@GovJayNixon declaring #CHD Awareness Week w/ our President @BobOrtbalsJr #congenitalheartdefects http://t.co/Q0LGjj1LAp,8.49639,http://twitter.com/TheCHF_MO/status/473536667395969024,http://twitter.com/thechf_mo
06/02/14,http://twitter.com/bobortbalsjr/status/473536903191744513,bobortbalsjr,RT @TheCHF_MO: .@GovJayNixon declaring #CHD Awareness Week w/ our President @BobOrtbalsJr #congenitalheartdefects http://t.co/Q0LGjj1LAp,7.002217,http://twitter.com/BobOrtbalsJr/status/473536903191744513,http://twitter.com/bobortbalsjr
06/02/14,http://twitter.com/sk_prez/status/473538126695370752,sk_prez,RT @OurHouseIsOHIO: This months charity event!!! Tonight for CHD!!!! Help spread the word!! RT #CHD @ReeseClarett13 @SK_PREZ @k_austin0 htt…,7.026757,http://twitter.com/SK_PREZ/status/473538126695370752,http://twitter.com/sk_prez
06/02/14,http://twitter.com/baker10donna/status/473546593241927681,baker10donna,RT @mommakaep: The Kaepernick's send our love and prayers to the family of Sarah Liamos. #gonetoosoon  #CHD,7.246512,http://twitter.com/Baker10Donna/status/473546593241927681,http://twitter.com/baker10donna
06/02/14,http://twitter.com/jclinmd/status/473547301055889408,jclinmd,"RT @AmerUrological: Study suggests #kidneystones are linked to increased risk of cardiovascular disease, including #CHD &amp; #stroke http://t.…",6.952757,http://twitter.com/JCLinMD/status/473547301055889408,http://twitter.com/jclinmd
05/14/14,http://twitter.com/camp_taylor/status/466653589994500096,autumndakoda,"RT @Camp_Taylor: Giving a ""CT"" S/O to all children with heart disease! @Kaepernick7 &amp; Our #CampTaylor founder spreading awareness #CHD http…",9.409698,http://twitter.com/autumndakoda/status/473555563591507968,http://twitter.com/autumndakoda
06/02/14,http://twitter.com/josephsjourney/status/473564851139133440,josephsjourney,http://t.co/pXvAe3gSte: Missed diagnosis: 22q11.2 deletion syndrome http://t.co/8kxMwj49MT #CHD =,7.7186,http://twitter.com/Josephsjourney/status/473564851139133440,http://twitter.com/josephsjourney
06/02/14,http://twitter.com/ashtincaye/status/473568733374730241,ashtincaye,"RT @Camp_Taylor: Giving a ""CT"" S/O to all children with heart disease! @Kaepernick7 &amp; Our #CampTaylor founder spreading awareness #CHD http…",6.9072056,http://twitter.com/Ashtincaye/status/473568733374730241,http://twitter.com/ashtincaye
06/02/14,http://twitter.com/stillwelltaylor/status/473570003325689856,stillwelltaylor,RT @mike_hatter4: 2 all r #CHD friends please pray 4 Blake at@almorrow Blake is having OHS6-2-14 he needs all the prayers he can get pls RT…,6.591995,http://twitter.com/StillwellTaylor/status/473570003325689856,http://twitter.com/stillwelltaylor
06/02/14,http://twitter.com/bodoknudsen/status/473570591082295297,bodoknudsen,"RT @AmerUrological: Study suggests #kidneystones are linked to increased risk of cardiovascular disease, including #CHD &amp; #stroke http://t.…",6.952757,http://twitter.com/BodoKnudsen/status/473570591082295297,http://twitter.com/bodoknudsen
06/03/14,http://twitter.com/isabella_hinch/status/473616390612869120,isabella_hinch,"10 strokes 
9 heart attacks
6 cardiac arrests 
&amp;
3 open heart surgeries

This little girl is a living miracle 🙏 #chd http://t.co/BUlNBTEuEB",7.203645,http://twitter.com/isabella_hinch/status/473616390612869120,http://twitter.com/isabella_hinch
06/03/14,http://twitter.com/josephsjourney/status/473625259103358976,josephsjourney,http://t.co/pXvAe3gSte: BCVI introduces comprehensive program for patients with BAV http://t.co/X9wwIdfFC6 #CHD =,7.5703397,http://twitter.com/Josephsjourney/status/473625259103358976,http://twitter.com/josephsjourney
06/03/14,http://twitter.com/kaep7sammygirl/status/473628620091838464,kaep7sammygirl,RT @Camp_Taylor: One month from today we will roll out these @ our @Kaepernick7 #AgainstAllOdds golf tourn giving joy to #CHD kids! http://…,7.189809,http://twitter.com/Kaep7SammyGirl/status/473628620091838464,http://twitter.com/kaep7sammygirl
06/03/14,http://twitter.com/josephsjourney/status/473645363094908928,josephsjourney,Good Evening everyone! Have a great evening and Thank you for sharing about #CHD!,8.343781,http://twitter.com/Josephsjourney/status/473645363094908928,http://twitter.com/josephsjourney
06/03/14,http://twitter.com/tess_1113/status/473661954280935424,tess_1113,I go for my #heart catheter on June 13th #CHD #CHDsucks,7.7646637,http://twitter.com/Tess_1113/status/473661954280935424,http://twitter.com/tess_1113
06/03/14,http://twitter.com/chdbabies/status/473670668123242496,chdbabies,@BretBaier Loved seeing you on The O'Reilly Factor 2night! Thank you 4 raising awareness! #chd #pulseox #CHDAwareness #runforlittlehearts,6.9725733,http://twitter.com/chdbabies/status/473670668123242496,http://twitter.com/chdbabies
06/03/14,http://twitter.com/hensel_amanda/status/473685082054852608,hensel_amanda,Taking my sin to cardiology tomorrow. Fingers crossed for a good visit. #tetralogyoffallot #chd #beadsofcourage #heartwarrior,7.098986,http://twitter.com/hensel_amanda/status/473685082054852608,http://twitter.com/hensel_amanda
06/03/14,http://twitter.com/aditya12adi/status/473741690021617664,aditya12adi,#me #vella #holidays #woodland #lp #instapic #chd #timepass #gedi #notRandom #tflers #chandigarh… http://t.co/mioEj0j1vb,6.6881986,http://twitter.com/aditya12adi/status/473741690021617664,http://twitter.com/aditya12adi
06/03/14,http://twitter.com/josephsjourney/status/473746622954749953,josephsjourney,"http://t.co/pXvAe3gSte: Well Baby Pediatrician Visit Friday Jan 17th, '13 http://t.co/RS2RnflutP #CHD =",8.095924,http://twitter.com/Josephsjourney/status/473746622954749953,http://twitter.com/josephsjourney
06/03/14,http://twitter.com/josephsjourney/status/473807028859572224,josephsjourney,http://t.co/pXvAe3gSte: Extreme winter temperature and birth defects: A population-based case-control study http://t.co/qLzLoeq3lu #CHD =,7.2335205,http://twitter.com/Josephsjourney/status/473807028859572224,http://twitter.com/josephsjourney
06/03/14,http://twitter.com/singh3460/status/473822253331644416,singh3460,RT @ANTIQUEJATTI: Sir chadh BolDi shokeeni JaTTa di #desistyle !! #Punjabi #chd#ourcitiesourworld !!,6.721187,http://twitter.com/Singh3460/status/473822253331644416,http://twitter.com/singh3460
06/03/14,http://twitter.com/samprotheroe1/status/473832052195065856,samprotheroe1,"Asda have just made an advert for a 'double pizza'… Yes, two stacked pizzas, we're turning into America! #CHD #Obesity",7.6268754,http://twitter.com/SamProtheroe1/status/473832052195065856,http://twitter.com/samprotheroe1
06/03/14,http://twitter.com/everydaymornin/status/473833703802961920,everydaymornin,Everyday Morning Hearts #CHD is out! http://t.co/UbPNnfqDub Stories via @r10Ltd @TeamNolan1,8.871443,http://twitter.com/everydaymornin/status/473833703802961920,http://twitter.com/everydaymornin
06/03/14,http://twitter.com/lhm_uk/status/473834346328379392,lhm_uk,Recycle ink cartridges and mobile phones to raise money for LHM #CHD http://t.co/DhNKNoeJcM,11.503951,http://twitter.com/LHM_UK/status/473834346328379392,http://twitter.com/lhm_uk
06/03/14,http://twitter.com/pcha_chd/status/473838028998598656,pcha_chd,Blog post - From the beginning and being grateful! #CHD  Read more: http://t.co/jeQpak3z9r,9.365725,http://twitter.com/PCHA_CHD/status/473838028998598656,http://twitter.com/pcha_chd
06/03/14,http://twitter.com/samanthalucier1/status/473841797492645888,samanthalucier1,RT @LHM_UK: Recycle ink cartridges and mobile phones to raise money for LHM #CHD http://t.co/DhNKNoeJcM,7.37497,http://twitter.com/SamanthaLucier1/status/473841797492645888,http://twitter.com/samanthalucier1
06/03/14,http://twitter.com/r10ltd/status/473847529239764993,r10ltd,RT @everydaymornin: Everyday Morning Hearts #CHD is out! http://t.co/UbPNnfqDub Stories via @r10Ltd @TeamNolan1,7.3073587,http://twitter.com/r10Ltd/status/473847529239764993,http://twitter.com/r10ltd
06/03/14,http://twitter.com/teamnolan1/status/473853854572765184,teamnolan1,RT @everydaymornin: Everyday Morning Hearts #CHD is out! http://t.co/UbPNnfqDub Stories via @r10Ltd @TeamNolan1,7.3073587,http://twitter.com/TeamNolan1/status/473853854572765184,http://twitter.com/teamnolan1
06/03/14,http://twitter.com/josephsjourney/status/473856684369379328,josephsjourney,Come by and visit us at Joseph Story and Learn about #CHD http://t.co/8aaDgT2LkF Thank you!,8.250643,http://twitter.com/Josephsjourney/status/473856684369379328,http://twitter.com/josephsjourney
06/03/14,http://twitter.com/josephsjourney/status/473867781876633600,josephsjourney,http://t.co/pXvAe3gSte: The Visitation http://t.co/MOTpKoXbSM #CHD =,8.789568,http://twitter.com/Josephsjourney/status/473867781876633600,http://twitter.com/josephsjourney
06/03/14,http://twitter.com/nicu_support/status/473883153585946624,nicu_support,My #happiness is... Muddy boots and a set of smurf chimes chosen by my #chd survivor. What's yours?,8.789109,http://twitter.com/nicu_support/status/473883153585946624,http://twitter.com/nicu_support
06/03/14,http://twitter.com/mz_zette/status/473885596943785984,mz_zette,#donate 4  moms #bday. #retweet cuz #sharingiscaring: http://t.co/MqgNmdhUfR #gofundme #chd #medical,7.301116,http://twitter.com/mz_zette/status/473885596943785984,http://twitter.com/mz_zette
06/03/14,http://twitter.com/mike_hatter4/status/473904848514342912,mike_hatter4,@almorrow sounds good please keep us informed happy he is doing goos😀🙏💙❤️#chd his tee should b there today just happy all is good,7.22692,http://twitter.com/mike_hatter4/status/473904848514342912,http://twitter.com/mike_hatter4
06/03/14,http://twitter.com/heartlineuk/status/473907393420886017,heartlineuk,RT @kindercreative: @HeartlineUK I've updated the Hearts in the right place blog. Please RT  awareness for #CHD #situsinversus #baby http:/…,7.1884193,http://twitter.com/HeartlineUK/status/473907393420886017,http://twitter.com/heartlineuk
06/03/14,http://twitter.com/thestollery/status/473908143395598336,thestollery,RT @nicu_support: My #happiness is... Muddy boots and a set of smurf chimes chosen by my #chd survivor. What's yours?,7.059171,http://twitter.com/TheStollery/status/473908143395598336,http://twitter.com/thestollery
06/03/14,http://twitter.com/bizfeedz/status/473922363277312000,bizfeedz,#AlbertAlfonso #CHD #CL #KMB #KO #PG Procter &amp; Gamble: Still Cheap And Now With A 3.20% Dividend Yield http://t.co/Quw3hMmMSy,6.7558837,http://twitter.com/BizFeedz/status/473922363277312000,http://twitter.com/bizfeedz
06/03/14,http://twitter.com/chdbabies/status/473925485248782337,chdbabies,#CHD and Learning Disabilities http://t.co/w5mfOpeKSq #CHDAwareness #parentadvocate #pulseox #heartmom,11.203886,http://twitter.com/chdbabies/status/473925485248782337,http://twitter.com/chdbabies
