firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/bradschjoth/status/418247309894643712,bradschjoth,"Enjoy 2014, people. I'm not gonna make it. #downwiththesickness #cholera #ebola #scarletfever #typhoid http://t.co/C8GDwd9fbt",10.69585,http://twitter.com/bradschjoth/status/418247309894643712,http://twitter.com/bradschjoth
01/01/14,http://twitter.com/nilimajumder/status/418293307941220352,nilimajumder,RT@UNICEF Coordinated rapid response has dramatically reduced the number of #cholera cases in #Haiti http://t.co/qY5N3coma9,7.6426487,http://twitter.com/NiliMajumder/status/418293307941220352,http://twitter.com/nilimajumder
01/01/14,http://twitter.com/haitifilm/status/418294427174453248,haitifilm,Happy New Year to all our supporters! I can't wait to share what we've been working on with you. #Haiti #Cholera #2014,7.891489,http://twitter.com/HaitiFilm/status/418294427174453248,http://twitter.com/haitifilm
01/01/14,http://twitter.com/haitifilm/status/418474719071846400,haitifilm,Today is Haiti's Independence Day but truly how independent is #Haiti? May this new year bring justice to #cholera victims. @ijdh,9.7684965,http://twitter.com/HaitiFilm/status/418474719071846400,http://twitter.com/haitifilm
01/01/14,http://twitter.com/mazinice/status/418477118402478081,mazinice,"Cholera kills 7 persons in Kano http://t.co/2WWwrBwfYM
@vanguardngrnews #news #nigeria #cholera",7.7858253,http://twitter.com/mazinice/status/418477118402478081,http://twitter.com/mazinice
01/02/14,http://twitter.com/global_renewal/status/418534601532129280,global_renewal,"#Kano ;...knowing fully well how tricky ""#cholera etal"" can be; I need a #UnitedNationalFront in its #eradication
Spread the news + mobilize",7.052387,http://twitter.com/Global_Renewal/status/418534601532129280,http://twitter.com/global_renewal
01/02/14,http://twitter.com/petergodswillng/status/418573649461772289,petergodswillng,Health: #Cholera Outbreak Kills Seven Persons in #Kano http://t.co/e5GjpC0ken,8.030727,http://twitter.com/PeterGodswillng/status/418573649461772289,http://twitter.com/petergodswillng
01/02/14,http://twitter.com/infonigerianews/status/418573653094047745,infonigerianews,Health: #Cholera Outbreak Kills Seven Persons in #Kano http://t.co/v6YXwpLKUi,7.999241,http://twitter.com/InfoNigeriaNews/status/418573653094047745,http://twitter.com/infonigerianews
01/02/14,http://twitter.com/daily_trust/status/418652221031464960,daily_trust,#Cholera kills 7 in #Kano http://t.co/Zn36WQvQDM,13.62599,http://twitter.com/daily_trust/status/418652221031464960,http://twitter.com/daily_trust
01/02/14,http://twitter.com/yandiusman/status/418654242413764608,yandiusman,RT @daily_trust: #Cholera kills 7 in #Kano http://t.co/Zn36WQvQDM,8.192371,http://twitter.com/YandiUsman/status/418654242413764608,http://twitter.com/yandiusman
01/02/14,http://twitter.com/salysubaba/status/418655078078488576,salysubaba,RT @daily_trust: #Cholera kills 7 in #Kano http://t.co/Zn36WQvQDM,8.192371,http://twitter.com/SalysuBaba/status/418655078078488576,http://twitter.com/salysubaba
01/02/14,http://twitter.com/tamah900/status/418655233729130496,tamah900,RT @daily_trust: #Cholera kills 7 in #Kano http://t.co/Zn36WQvQDM,8.192371,http://twitter.com/Tamah900/status/418655233729130496,http://twitter.com/tamah900
01/02/14,http://twitter.com/hawweee/status/418655439069663232,hawweee,RT @daily_trust: #Cholera kills 7 in #Kano http://t.co/Zn36WQvQDM,8.192371,http://twitter.com/Hawweee/status/418655439069663232,http://twitter.com/hawweee
01/02/14,http://twitter.com/munirhamisu/status/418659695914942464,munirhamisu,RT @daily_trust: #Cholera kills 7 in #Kano http://t.co/Zn36WQvQDM,8.192371,http://twitter.com/Munirhamisu/status/418659695914942464,http://twitter.com/munirhamisu
01/02/14,http://twitter.com/ulayi60ulayi/status/418660227672973312,ulayi60ulayi,RT @daily_trust: #Cholera kills 7 in #Kano http://t.co/Zn36WQvQDM,8.192371,http://twitter.com/Ulayi60Ulayi/status/418660227672973312,http://twitter.com/ulayi60ulayi
01/02/14,http://twitter.com/drgarekar/status/418665712857518081,drgarekar,@Rakshak919 #Kejriwal is suffering from #Cholera..black stools,7.690307,http://twitter.com/DrGarekar/status/418665712857518081,http://twitter.com/drgarekar
01/02/14,http://twitter.com/daily_trust/status/418765868122640384,daily_trust,#Cholera kills 7 in #Kano http://t.co/lb4GOQ4V0M,12.853208,http://twitter.com/daily_trust/status/418765868122640384,http://twitter.com/daily_trust
01/02/14,http://twitter.com/wacson/status/418766800386809856,wacson,RT @daily_trust: #Cholera kills 7 in #Kano http://t.co/lb4GOQ4V0M,8.060141,http://twitter.com/Wacson/status/418766800386809856,http://twitter.com/wacson
01/02/14,http://twitter.com/inaijanewslive/status/418767341548097536,inaijanewslive,&gt;&gt;#Cholera kills seven in #Kano =&gt;http://t.co/eq7VxOZ76y,8.345881,http://twitter.com/iNaijaNewsLIVE/status/418767341548097536,http://twitter.com/inaijanewslive
01/02/14,http://twitter.com/abdulraheemmzee/status/418767357994352640,abdulraheemmzee,RT @daily_trust: #Cholera kills 7 in #Kano http://t.co/lb4GOQ4V0M,8.060141,http://twitter.com/Abdulraheemmzee/status/418767357994352640,http://twitter.com/abdulraheemmzee
01/02/14,http://twitter.com/abubakr_mashi/status/418767619723100160,abubakr_mashi,"""@daily_trust: #Cholera kills 7 in #Kano http://t.co/py0V8QTgAO""",8.081169,http://twitter.com/AbuBakr_MaShI/status/418767619723100160,http://twitter.com/abubakr_mashi
01/02/14,http://twitter.com/haitijustice/status/418787303524691968,haitijustice,RT @HaitiFilm: Today is Haiti's Independence Day but truly how independent is #Haiti? May this new year bring justice to #cholera victims. …,6.875487,http://twitter.com/HaitiJustice/status/418787303524691968,http://twitter.com/haitijustice
01/02/14,http://twitter.com/janearthlover/status/418787984205676544,janearther,RT @HaitiFilm: Today is Haiti's Independence Day but truly how independent is #Haiti? May this new year bring justice to #cholera victims. …,6.875487,http://twitter.com/janearthlover/status/418787984205676544,http://twitter.com/janearther
01/02/14,http://twitter.com/jatetro/status/418804265587458049,jatetro,"So, #WNV is killing bald eagles that ate dead grebes killed by #cholera. A rather grim reminder of our dysfunctional relationship w/ germs.",10.644436,http://twitter.com/JATetro/status/418804265587458049,http://twitter.com/jatetro
01/02/14,http://twitter.com/olivia_ruby/status/418805478958059520,olivia_ruby,RT @HaitiFilm: Today is Haiti's Independence Day but truly how independent is #Haiti? May this new year bring justice to #cholera victims. …,6.875487,http://twitter.com/Olivia_Ruby/status/418805478958059520,http://twitter.com/olivia_ruby
01/02/14,http://twitter.com/crof/status/418828352506449920,crof,Nigeria: Seven #cholera deaths in Kano http://t.co/InMZ2dHNOP,11.463509,http://twitter.com/Crof/status/418828352506449920,http://twitter.com/crof
01/02/14,http://twitter.com/gmagbagbeola/status/418849006648037377,gmagbagbeola,RT @HaitiFilm: Today is Haiti's Independence Day but truly how independent is #Haiti? May this new year bring justice to #cholera victims. …,6.875487,http://twitter.com/GMagbagbeola/status/418849006648037377,http://twitter.com/gmagbagbeola
01/02/14,http://twitter.com/crof/status/418851549230551040,crof,Nigeria: Seven #cholera deaths in Kano (update: now 25 deaths) http://t.co/InMZ2dHNOP,12.147911,http://twitter.com/Crof/status/418851549230551040,http://twitter.com/crof
01/02/14,http://twitter.com/olayemioniroyin/status/418853372092239872,olayemioniroyin,Fresh #Cholera Outbreak In #Kano Kills 25. @OlayemiOniroyin pin:28EEEAE2,7.3000927,http://twitter.com/OlayemiOniroyin/status/418853372092239872,http://twitter.com/olayemioniroyin
01/02/14,http://twitter.com/microbioblog/status/418860332195790849,microbioblog,RT @Crof: Nigeria: Seven #cholera deaths in Kano (update: now 25 deaths) http://t.co/InMZ2dHNOP,7.6072865,http://twitter.com/microBIOblog/status/418860332195790849,http://twitter.com/microbioblog
01/03/14,http://twitter.com/kofdisgdsa/status/418983339115036672,kofdisgdsa,コレラの城 http://t.co/MensMgndtG #Castle #of #cholera,7.9918675,http://twitter.com/kofdisgdsa/status/418983339115036672,http://twitter.com/kofdisgdsa
01/03/14,http://twitter.com/annesoy/status/419067906954371072,annesoy,"“#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp; overcrowding”",13.238683,http://twitter.com/annesoy/status/419067906954371072,http://twitter.com/annesoy
01/03/14,http://twitter.com/bbclysedoucet/status/419068633684643840,bbclysedoucet,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",10.597171,http://twitter.com/bbclysedoucet/status/419068633684643840,http://twitter.com/bbclysedoucet
01/03/14,http://twitter.com/wonam6/status/419068692706910208,wonam6,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",6.8947372,http://twitter.com/Wonam6/status/419068692706910208,http://twitter.com/wonam6
01/03/14,http://twitter.com/misskylie77/status/419068756355063808,misskylie77,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",10.257609,http://twitter.com/misskylie77/status/419068756355063808,http://twitter.com/misskylie77
01/03/14,http://twitter.com/moonbootica/status/419068760109383680,moonbootica,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",10.276275,http://twitter.com/Moonbootica/status/419068760109383680,http://twitter.com/moonbootica
01/03/14,http://twitter.com/kouya/status/419069086367113216,kouya,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",10.139489,http://twitter.com/kouya/status/419069086367113216,http://twitter.com/kouya
01/03/14,http://twitter.com/venetianspring/status/419069286070882304,venetianspring,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",10.056912,http://twitter.com/venetianspring/status/419069286070882304,http://twitter.com/venetianspring
01/03/14,http://twitter.com/stevefouch/status/419069381042503680,stevefouch,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",10.058363,http://twitter.com/SteveFouch/status/419069381042503680,http://twitter.com/stevefouch
01/03/14,http://twitter.com/sdpuddicombe/status/419069401413873664,sdpuddicombe,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",6.8947372,http://twitter.com/sdpuddicombe/status/419069401413873664,http://twitter.com/sdpuddicombe
01/03/14,http://twitter.com/thembaletumbang/status/419069465729703936,thembaletumbang,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",6.8947372,http://twitter.com/ThembaletuMbang/status/419069465729703936,http://twitter.com/thembaletumbang
01/03/14,http://twitter.com/emanuelstoakes/status/419070009290145793,emanuelstoakes,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",6.8947372,http://twitter.com/EmanuelStoakes/status/419070009290145793,http://twitter.com/emanuelstoakes
01/03/14,http://twitter.com/bonneytunya/status/419071881464250369,bonneytunya,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",10.064058,http://twitter.com/bonneytunya/status/419071881464250369,http://twitter.com/bonneytunya
01/03/14,http://twitter.com/sam10k/status/419073803688235008,sam10k,RT @earthtransition: 100s dead #seabirds victims of #Alaska's 1st detected avian  #cholera outbreak via @Seasaver http://t.co/W4bXBVjNWW  h…,6.9795,http://twitter.com/Sam10k/status/419073803688235008,http://twitter.com/sam10k
01/03/14,http://twitter.com/trollcolors/status/419073871690477569,trollcolors,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",10.062497,http://twitter.com/TrollColors/status/419073871690477569,http://twitter.com/trollcolors
01/03/14,http://twitter.com/adiskype/status/419079998700789760,adiskype,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",6.8947372,http://twitter.com/adiskype/status/419079998700789760,http://twitter.com/adiskype
01/03/14,http://twitter.com/philbarron/status/419095449765548033,philbarron,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",10.098882,http://twitter.com/philbarron/status/419095449765548033,http://twitter.com/philbarron
01/03/14,http://twitter.com/judylakeman/status/419112345504595968,judylakeman,"RT @annesoy: “#Cholera is endemic in #SouthSudan. To prevent it we're in a race against the heat, too little water, soap, poor sanitation &amp;…",6.8947372,http://twitter.com/judylakeman/status/419112345504595968,http://twitter.com/judylakeman
01/03/14,http://twitter.com/childfund/status/419129312483094529,childfund,A new drug shows promise for protecting people from #cholera: http://t.co/iQH0x6j3dy #health,11.36234,http://twitter.com/ChildFund/status/419129312483094529,http://twitter.com/childfund
01/03/14,http://twitter.com/archiveglobal/status/419134362362208257,archiveglobal,#Cholera Kills Seven Persons in #Kano http://t.co/4jr8BpXjr2,11.299312,http://twitter.com/ARCHIVEglobal/status/419134362362208257,http://twitter.com/archiveglobal
01/03/14,http://twitter.com/kodigdsfgs/status/419149753151025152,kodigdsfgs,コレラの城 http://t.co/yNLqiZrAwe #Castle #of #cholera,7.990037,http://twitter.com/kodigdsfgs/status/419149753151025152,http://twitter.com/kodigdsfgs
01/03/14,http://twitter.com/beaulieuonnp/status/419177453425139712,mcsainsbury,RT @beaulieuonnp: @mcsainsbury not just flood staff but also people who test for water pollution #drinking water #health #cholera #chemicals,7.068996,http://twitter.com/mcsainsbury/status/419178636609335296,http://twitter.com/mcsainsbury
01/03/14,http://twitter.com/szkamm/status/419199360153313280,szkamm,"#Angola Rise #cholera cases but lower mortality rate: 221 persons died 2013  with a total number of 6,655 cases registered @LouiseRedvers",7.0420628,http://twitter.com/szkamm/status/419199360153313280,http://twitter.com/szkamm
01/03/14,http://twitter.com/psiimpact/status/419200339280404480,psiimpact,#Nigeria: Fresh #Cholera Outbreak In Kano Kills 25 http://t.co/rTMwmKAxGn,11.916792,http://twitter.com/PSIimpact/status/419200339280404480,http://twitter.com/psiimpact
01/03/14,http://twitter.com/hahncatherine/status/419204123582812160,hahncatherine,RT @PSIimpact: #Nigeria: Fresh #Cholera Outbreak In Kano Kills 25 http://t.co/rTMwmKAxGn,7.6174135,http://twitter.com/HahnCatherine/status/419204123582812160,http://twitter.com/hahncatherine
01/03/14,http://twitter.com/baronianconsult/status/419218006607425536,baronianconsult,RT @Crof: Nigeria: Seven #cholera deaths in Kano (update: now 25 deaths) http://t.co/InMZ2dHNOP,7.6072865,http://twitter.com/BaronianConsult/status/419218006607425536,http://twitter.com/baronianconsult
01/04/14,http://twitter.com/docshut/status/419315505783398400,docshut,#time #love #cholera http://t.co/x1mWS36Ft7 love in time of cholera,8.260225,http://twitter.com/docshut/status/419315505783398400,http://twitter.com/docshut
01/04/14,http://twitter.com/intelligencehub/status/419539676957925376,intellihubnews,#Oral #cholera #vaccine loaded with #GMOs to be tested on #babies #worldwide http://t.co/5h2YIkuBXQ #news #depopulation #SHADE,12.49812,http://twitter.com/IntelligenceHub/status/419539676957925376,http://twitter.com/intellihubnews
01/04/14,http://twitter.com/phykick/status/419541041403138049,phykick,RT @IntelligenceHub: #Oral #cholera #vaccine loaded with #GMOs to be tested on #babies #worldwide http://t.co/5h2YIkuBXQ #news #depopulatio…,10.194601,http://twitter.com/phykick/status/419541041403138049,http://twitter.com/phykick
01/04/14,http://twitter.com/kwikfit4utim/status/419541674226765824,kwikfit4utim,RT @IntelligenceHub: #Oral #cholera #vaccine loaded with #GMOs to be tested on #babies #worldwide http://t.co/5h2YIkuBXQ #news #depopulatio…,6.9411077,http://twitter.com/Kwikfit4uTim/status/419541674226765824,http://twitter.com/kwikfit4utim
01/04/14,http://twitter.com/larontario/status/419543363503652864,larontario,"Report on the responsibility of the #UN for the #cholera 
epidemic in #Haiti... #Ayiti #Kolera #HumanRights #Health http://t.co/oMRn3iF1H1",7.31929,http://twitter.com/LAROntario/status/419543363503652864,http://twitter.com/larontario
01/04/14,http://twitter.com/philphenol2/status/419558219724652545,philphenol2,RT @IntelligenceHub: #Oral #cholera #vaccine loaded with #GMOs to be tested on #babies #worldwide http://t.co/5h2YIkuBXQ #news #depopulatio…,6.9411077,http://twitter.com/philphenol2/status/419558219724652545,http://twitter.com/philphenol2
01/04/14,http://twitter.com/shepardambellas/status/419597438387638272,shepardambellas,RT @IntelligenceHub: #Oral #cholera #vaccine loaded with #GMOs to be tested on #babies #worldwide http://t.co/5h2YIkuBXQ #news #depopulatio…,10.120323,http://twitter.com/ShepardAmbellas/status/419597438387638272,http://twitter.com/shepardambellas
01/04/14,http://twitter.com/rdergolem/status/419600861329772544,rdergolem,RT @IntelligenceHub: #Oral #cholera #vaccine loaded with #GMOs to be tested on #babies #worldwide http://t.co/5h2YIkuBXQ #news #depopulatio…,6.9411077,http://twitter.com/rdergolem/status/419600861329772544,http://twitter.com/rdergolem
01/05/14,http://twitter.com/tsull12200/status/419650737459585024,tsull12200,@MimonFishbaum @normmacdonald @TimothyGrosso wouldn't a pile of shit be more likely to die from #cholera?,7.2142124,http://twitter.com/Tsull12200/status/419650737459585024,http://twitter.com/tsull12200
01/05/14,http://twitter.com/digitalfolklore/status/419777976469712897,digitalfolklore,"#Cholera 
""caused by the excreta of a single typhoid patient getting into a small stream""
http://t.co/4W7Opl4kpy
http://t.co/GIbI8FbMab",7.6736917,http://twitter.com/digitalfolklore/status/419777976469712897,http://twitter.com/digitalfolklore
01/05/14,http://twitter.com/k3zza18/status/419810018402111490,k3zza18,Demand @UN action to save lives and wipe out killer #cholera in Haiti! Sign:  http://t.co/Kznc9fqtAl,7.8107667,http://twitter.com/K3zza18/status/419810018402111490,http://twitter.com/k3zza18
01/05/14,http://twitter.com/_ohdearyme/status/419832712518959104,jnnfrdry,"The water in my house is brown, no way am I drinking/washing in that ayyyyyyyy #cholera http://t.co/slCK8T10GR",8.768514,http://twitter.com/_ohdearyme/status/419832712518959104,http://twitter.com/jnnfrdry
01/05/14,http://twitter.com/lifentco/status/419845746259529729,lifentco,Oral #cholera #vaccine loaded with #GMOs to be tested on #babies worldwide - http://t.co/1WRtLejIGV,7.3094583,http://twitter.com/lifentco/status/419845746259529729,http://twitter.com/lifentco
01/05/14,http://twitter.com/geraciflow/status/419876401572237312,geraciflow,@bilanch21 @The90sLife  😂😂😂 #Cholera,9.079614,http://twitter.com/GeraciFlow/status/419876401572237312,http://twitter.com/geraciflow
01/05/14,http://twitter.com/shaitai123/status/419901234431016960,shaitai123,I hope that @UN will take responsibility for #cholera RT“@ijdh: What are your hopes for Haiti in 2014? #humanrightsresolutions #humanrights”,12.098859,http://twitter.com/ShaiTai123/status/419901234431016960,http://twitter.com/shaitai123
01/05/14,http://twitter.com/ijdh/status/419927855104274432,ijdh,RT @ShaiTai123: I hope that @UN will take responsibility for #cholera RT“@ijdh: What are your hopes for Haiti in 2014? #humanrightsresoluti…,10.124367,http://twitter.com/ijdh/status/419927855104274432,http://twitter.com/ijdh
01/05/14,http://twitter.com/rachel_bloom/status/419939851782205440,rachel_bloom,RT @ShaiTai123: I hope that @UN will take responsibility for #cholera RT“@ijdh: What are your hopes for Haiti in 2014? #humanrightsresoluti…,6.862245,http://twitter.com/Rachel_Bloom/status/419939851782205440,http://twitter.com/rachel_bloom
01/05/14,http://twitter.com/rizkhairani/status/419946456749846528,rizkhairani,RT @ShaiTai123: I hope that @UN will take responsibility for #cholera RT“@ijdh: What are your hopes for Haiti in 2014? #humanrightsresoluti…,6.862245,http://twitter.com/rizkhairani/status/419946456749846528,http://twitter.com/rizkhairani
01/06/14,http://twitter.com/justanobody2/status/419991678020100096,justanobody2,#Health (allegedly) -- Oral #cholera #vaccine loaded with #GMOs to be tested on #babies worldwide http://t.co/g6mbEX9SBa,7.799179,http://twitter.com/JustANobody2/status/419991678020100096,http://twitter.com/justanobody2
01/06/14,http://twitter.com/sophie_smitherz/status/419992357908410369,sophie_smitherz,Drank from the stale bottle of water as opposed to the fresh. YUK! #cholera,8.049375,http://twitter.com/Sophie_Smitherz/status/419992357908410369,http://twitter.com/sophie_smitherz
01/06/14,http://twitter.com/haitijustice/status/420034448177258496,haitijustice,RT @ShaiTai123: I hope that @UN will take responsibility for #cholera RT“@ijdh: What are your hopes for Haiti in 2014? #humanrightsresoluti…,6.862245,http://twitter.com/HaitiJustice/status/420034448177258496,http://twitter.com/haitijustice
01/06/14,http://twitter.com/abbycoqui/status/420038458250653696,abbycoqui,RT @ShaiTai123: I hope that @UN will take responsibility for #cholera RT“@ijdh: What are your hopes for Haiti in 2014? #humanrightsresoluti…,6.862245,http://twitter.com/Abbycoqui/status/420038458250653696,http://twitter.com/abbycoqui
01/06/14,http://twitter.com/theinfamousager/status/420051560513560576,theinfamousager,maybe drinking water from that fountain was a bad idea #cholera,8.279475,http://twitter.com/theinfamousager/status/420051560513560576,http://twitter.com/theinfamousager
01/06/14,http://twitter.com/onlyonewowwow/status/420079264629673984,onlyonewowwow,RT @IntelligenceHub: #Oral #cholera #vaccine loaded with #GMOs to be tested on #babies #worldwide http://t.co/5h2YIkuBXQ #news #depopulatio…,6.9411077,http://twitter.com/onlyonewowwow/status/420079264629673984,http://twitter.com/onlyonewowwow
01/06/14,http://twitter.com/shearere13/status/420184988558958592,shearere13,RT @JustANobody2: #Health (allegedly) -- Oral #cholera #vaccine loaded with #GMOs to be tested on #babies worldwide http://t.co/g6mbEX9SBa,6.844736,http://twitter.com/Shearere13/status/420184988558958592,http://twitter.com/shearere13
01/06/14,http://twitter.com/ianmakay/status/420201060582817792,puppetonia2,RT @IanMakay: A new drug shows promise for protecting people from #cholera: http://t.co/ceY1BHGgSb  #health via @ChildFund,11.540472,http://twitter.com/Puppetonia2/status/420202151785545728,http://twitter.com/puppetonia2
01/06/14,http://twitter.com/childfund/status/420205850775793664,childfund,RT @IanMakay: A new drug shows promise for protecting people from #cholera: http://t.co/ceY1BHGgSb  #health via @ChildFund,10.787897,http://twitter.com/ChildFund/status/420205850775793664,http://twitter.com/childfund
01/06/14,http://twitter.com/auntiedolores/status/420226306127572993,auntiedolores,Strong preparations of #marijuana treat #cholera in #Thailand; some even #drink the #water from their water #pipes. http://t.co/1q9GFdgcCf,7.4551973,http://twitter.com/AuntieDolores/status/420226306127572993,http://twitter.com/auntiedolores
01/06/14,http://twitter.com/helenmatzger/status/420232595243155456,helenmatzger,"RT@annesoy #Cholera is endemic in #SouthSudan.2prevent it we're in a race against heat, 2 little water, soap, poor sanitation &amp; overcrowding",6.796858,http://twitter.com/HelenMatzger/status/420232595243155456,http://twitter.com/helenmatzger
01/06/14,http://twitter.com/grgf0016/status/420242266272587776,grgf0016,#sometimesiwish I had #cholera or like #malaria so someone would take care of me for a change #nurseproblems #femaleproblems #franism,7.1992545,http://twitter.com/grgf0016/status/420242266272587776,http://twitter.com/grgf0016
01/06/14,http://twitter.com/janvoordouw/status/420274244388274176,janvoordouw,"Interview Assistant Secretary-General Pedro Medrano Rojas, Senior Coordinator for the #Cholera Response in #Haiti: http://t.co/qmAcen1z21",7.224141,http://twitter.com/JanVoordouw/status/420274244388274176,http://twitter.com/janvoordouw
01/06/14,http://twitter.com/caitlinrain/status/420316510213898240,caitlinrain,RT @IanMakay: A new drug shows promise for protecting people from #cholera: http://t.co/yDGWqGjRma  #health via @ChildFund,10.825396,http://twitter.com/caitlinrain/status/420316510213898240,http://twitter.com/caitlinrain
01/07/14,http://twitter.com/radiowavefm/status/420415950882492417,radiowavefm,Anne: In the news this hour. The latest on the #Cholera Outbreak in the #Kunene Region. Accidents in #Windhoek during Dec &amp; the #polarvortex,10.07179,http://twitter.com/RadiowaveFM/status/420415950882492417,http://twitter.com/radiowavefm
01/07/14,http://twitter.com/sribuk/status/420479408374165505,sribuk,"What are the main causes of #cholera? http://t.co/hkOVajxwzH For more general knowledge, subscribe http://t.co/TQh8999TeK #generalknowledge",7.4518933,http://twitter.com/sribuk/status/420479408374165505,http://twitter.com/sribuk
01/07/14,http://twitter.com/sribuk/status/420480746533302272,sribuk,"What are the main symptoms of #cholera?  http://t.co/wFcTnpzQbR For more amazing general #knowledge videos, visit http://t.co/TQh8999TeK",7.636939,http://twitter.com/sribuk/status/420480746533302272,http://twitter.com/sribuk
01/07/14,http://twitter.com/gioiaguerzoni/status/420490122417946624,gioiaguerzoni,Stories #indianstaffcorps #cholera #stthomas #fort #bombay #4 http://t.co/KomHbgrTIY,7.423469,http://twitter.com/GioiaGuerzoni/status/420490122417946624,http://twitter.com/gioiaguerzoni
01/07/14,http://twitter.com/radio251et/status/420498817742831617,radio251et,RT @SAWBOsm: #Rehydration #solution during a #Cholera #outbreak @SAWBOsm #globalhealth #animation #Afan #Oromo #Ethiopia free @ http://t.co…,6.6418734,http://twitter.com/radio251ET/status/420498817742831617,http://twitter.com/radio251et
01/07/14,http://twitter.com/skyab/status/420531227830263808,skyab,You wake up and dump your waste into the gutter...then you come and blame the government??... #Cholera go get u... #silly,7.475478,http://twitter.com/skyab/status/420531227830263808,http://twitter.com/skyab
01/07/14,http://twitter.com/gwashproject/status/420543848847118336,gwashproject,"“A total of 68 persons died of #cholera within the #Accra Metropolis between 2006 and 2011."" #sanitation #hygiene http://t.co/IQholWEqwM",7.294404,http://twitter.com/gwashproject/status/420543848847118336,http://twitter.com/gwashproject
01/07/14,http://twitter.com/misshaiti2014/status/420638728692826112,misshaiti2014,Excited about the upcoming Miss Haiti International US pageant. Miss PAP is ready. 88 days left #Cholera  @misshaitiintlus,7.495425,http://twitter.com/MissHaiti2014/status/420638728692826112,http://twitter.com/misshaiti2014
01/08/14,http://twitter.com/traveldocaus/status/420773133394935808,traveldocaus,Fresh #Cholera outbreak in Kano State of NW #Nigeria accounting for 25 death &amp; 600 thought affected #tvlmed #travel #health #traveldoc,10.79913,http://twitter.com/TravelDocAus/status/420773133394935808,http://twitter.com/traveldocaus
01/08/14,http://twitter.com/radiowavefm/status/420778645049733120,radiowavefm,"Anne: Coming up in the news this hour. For the first time, we hear from the Ministry of Health over a #Cholera outbreak in the north.",11.005545,http://twitter.com/RadiowaveFM/status/420778645049733120,http://twitter.com/radiowavefm
01/08/14,http://twitter.com/crof/status/420779801620647936,crof,Haiti: 610 #cholera deaths in 2013 http://t.co/Ovrz5QnZXB,12.846385,http://twitter.com/Crof/status/420779801620647936,http://twitter.com/crof
01/08/14,http://twitter.com/crof/status/420781645977767936,crof,RT @TravelDocAus: Fresh #Cholera outbreak in Kano State of NW #Nigeria accounting for 25 death &amp; 600 thought affected #tvlmed #travel #heal…,9.933671,http://twitter.com/Crof/status/420781645977767936,http://twitter.com/crof
01/08/14,http://twitter.com/ochasouthsudan/status/420796600781266945,ochasouthsudan,Sanitation key to prevent disease outbreaks eg #cholera. Tx @UNICEF &amp; NileHope for building 220 latrines for #IDPs in #Juba MT @tobylanzer,9.648372,http://twitter.com/OCHASouthSudan/status/420796600781266945,http://twitter.com/ochasouthsudan
01/08/14,http://twitter.com/nodesystems/status/420796915480289280,nodesystems,RT @OCHASouthSudan: Sanitation key to prevent disease outbreaks eg #cholera. Tx @UNICEF &amp; NileHope for building 220 latrines for #IDPs in #…,6.467977,http://twitter.com/NodeSystems/status/420796915480289280,http://twitter.com/nodesystems
01/08/14,http://twitter.com/sierra_gulf/status/420797969932099584,sierra_gulf,RT @OCHASouthSudan: Sanitation key to prevent disease outbreaks eg #cholera. Tx @UNICEF &amp; NileHope for building 220 latrines for #IDPs in #…,6.467977,http://twitter.com/sierra_gulf/status/420797969932099584,http://twitter.com/sierra_gulf
